numero,latitud,longitud,fecha,tmax,tmin
22581,22.16502778,-102.2951944,2004-01-27 00:00:00,22.3,-2
22581,22.16502778,-102.2951944,2004-01-28 00:00:00,20.1,-1.9
22581,22.16502778,-102.2951944,2004-01-29 00:00:00,17.9,7.5
22581,22.16502778,-102.2951944,2004-01-30 00:00:00,10.8,5.2
22581,22.16502778,-102.2951944,2004-01-31 00:00:00,17.7,-2.7
22581,22.16502778,-102.2951944,2004-02-01 00:00:00,20.8,-2
22581,22.16502778,-102.2951944,2004-02-02 00:00:00,22.7,-4.2
22581,22.16502778,-102.2951944,2004-02-03 00:00:00,23.3,-0.3
22581,22.16502778,-102.2951944,2004-02-04 00:00:00,23.8,6.7
22581,22.16502778,-102.2951944,2004-02-05 00:00:00,22.6,5.6
22581,22.16502778,-102.2951944,2004-02-06 00:00:00,22.7,4.7
22581,22.16502778,-102.2951944,2004-02-07 00:00:00,19.2,2.2
22581,22.16502778,-102.2951944,2004-02-08 00:00:00,23.8,4.7
22581,22.16502778,-102.2951944,2004-02-09 00:00:00,24.4,3.9
22581,22.16502778,-102.2951944,2004-02-10 00:00:00,24.1,9.3
22581,22.16502778,-102.2951944,2004-02-11 00:00:00,23.6,4.8
22581,22.16502778,-102.2951944,2004-02-12 00:00:00,24.5,9.4
22581,22.16502778,-102.2951944,2004-02-13 00:00:00,17.4,8.8
22581,22.16502778,-102.2951944,2004-02-14 00:00:00,21.4,4.1
22581,22.16502778,-102.2951944,2004-02-15 00:00:00,22,0.3
22581,22.16502778,-102.2951944,2004-02-16 00:00:00,19.3,-0.5
22581,22.16502778,-102.2951944,2004-02-17 00:00:00,21.8,-3.1
22581,22.16502778,-102.2951944,2004-02-18 00:00:00,22.1,-1.7
22581,22.16502778,-102.2951944,2004-02-19 00:00:00,24.9,-1.9
22581,22.16502778,-102.2951944,2004-02-20 00:00:00,24.5,1.3
22581,22.16502778,-102.2951944,2004-02-21 00:00:00,24.2,-0.3
22581,22.16502778,-102.2951944,2004-02-22 00:00:00,22.6,5.6
22581,22.16502778,-102.2951944,2004-02-23 00:00:00,21.2,3.3
22581,22.16502778,-102.2951944,2004-02-24 00:00:00,20.4,3.3
22581,22.16502778,-102.2951944,2004-02-25 00:00:00,21.7,-2.9
22581,22.16502778,-102.2951944,2004-02-26 00:00:00,22.9,-1.7
22581,22.16502778,-102.2951944,2004-02-27 00:00:00,25.1,1
22581,22.16502778,-102.2951944,2004-02-28 00:00:00,24.8,5.2
22581,22.16502778,-102.2951944,2004-02-29 00:00:00,24.1,4
22581,22.16502778,-102.2951944,2004-03-01 00:00:00,26,0.3
22581,22.16502778,-102.2951944,2004-03-02 00:00:00,27.8,3.5
22581,22.16502778,-102.2951944,2004-03-03 00:00:00,25.2,8.8
22581,22.16502778,-102.2951944,2004-03-04 00:00:00,22.6,12.4
22581,22.16502778,-102.2951944,2004-03-05 00:00:00,26.9,4.4
22581,22.16502778,-102.2951944,2004-03-06 00:00:00,27.4,5
22581,22.16502778,-102.2951944,2004-03-07 00:00:00,29.5,8.1
22581,22.16502778,-102.2951944,2004-03-08 00:00:00,23,11.6
